weight,quality,color,clarity,depth,width_rel,price,x,y,z
0.4,Very Good,F,VS1,63.1,56.0,895,4.68,4.7,2.96
0.43,Ideal,G,SI1,62.2,54.0,763,4.84,4.88,3.02
0.42,Premium,E,SI1,62.7,59.0,773,4.78,4.79,3.0
0.7,Fair,E,VS2,60.6,64.0,2697,5.77,5.62,3.45
0.93,Premium,F,SI2,60.0,60.0,3333,6.36,6.31,3.8
0.4,Very Good,F,IF,62.8,57.0,1404,4.65,4.68,2.93
0.34,Ideal,D,VS1,61.2,58.0,787,4.45,4.5,2.74
0.28,Ideal,E,VVS2,60.8,55.0,787,4.26,4.29,2.6
2.0,Good,J,SI2,61.5,61.0,11036,7.97,8.06,4.93
2.02,Premium,I,VS2,59.0,59.0,17893,8.34,8.27,4.9
0.5,Premium,E,I1,61.4,60.0,840,5.18,5.03,3.14
1.25,Premium,H,SI2,60.5,61.0,4200,6.97,6.91,4.2
1.23,Ideal,D,SI2,62.4,56.0,6289,6.81,6.87,4.27
1.01,Good,H,SI1,60.3,64.0,4320,6.52,6.49,3.92
1.61,Very Good,I,SI2,60.9,63.0,7636,7.5,7.54,4.58
2.12,Premium,I,VS2,61.5,58.0,17254,8.3,8.26,5.09
0.3,Ideal,F,VS2,62.0,53.7,601,4.31,4.33,2.68
1.37,Very Good,I,VS1,61.8,57.0,7939,7.09,7.14,4.4
0.34,Ideal,F,IF,61.7,55.0,1276,4.49,4.52,2.78
1.01,Ideal,G,VS2,62.0,57.0,6295,6.4,6.44,3.98
0.52,Ideal,H,IF,61.8,55.0,1798,5.17,5.19,3.2
0.84,Premium,E,SI2,59.2,59.0,3086,6.19,6.14,3.65
0.53,Ideal,E,VS2,61.4,55.0,1707,5.19,5.24,3.2
0.53,Ideal,G,VS1,61.6,55.7,1772,5.21,5.24,3.22
1.13,Premium,F,I1,62.3,56.0,3607,6.69,6.61,4.14
1.0,Very Good,F,IF,60.1,57.0,10346,6.45,6.52,3.9
0.45,Very Good,G,SI2,59.7,61.0,764,4.95,5.0,2.97
2.04,Premium,G,SI2,62.1,59.0,14900,8.14,8.06,5.03
1.09,Ideal,D,VS1,62.3,56.0,9650,6.63,6.59,4.12
1.13,Fair,F,SI2,64.4,56.0,4176,6.58,6.52,4.22
1.26,Premium,G,SI2,59.1,59.0,5899,7.09,7.05,4.18
1.07,Ideal,E,SI2,62.4,60.0,5280,6.49,6.52,4.06
1.5,Premium,D,SI1,62.4,58.0,12179,7.31,7.27,4.55
0.41,Ideal,G,VS2,62.5,56.0,827,4.72,4.75,2.96
0.33,Premium,D,SI1,60.4,60.0,780,4.46,4.41,2.68
0.27,Premium,D,VS2,59.6,61.0,567,4.26,4.23,2.53
0.32,Ideal,H,IF,62.2,54.0,814,4.37,4.41,2.73
0.51,Ideal,G,SI1,61.6,56.0,1281,5.19,5.14,3.18
1.02,Very Good,G,VS2,60.9,56.0,6432,6.47,6.51,3.95
0.77,Premium,I,VS2,61.6,58.0,2275,5.92,5.96,3.66
1.01,Ideal,G,VS1,62.4,58.0,6951,6.43,6.39,4.0
1.22,Ideal,I,SI2,61.3,57.0,5226,6.91,6.85,4.22
1.01,Premium,I,SI1,61.8,59.0,4166,6.37,6.44,3.96
1.0,Good,G,VVS2,61.6,60.0,7572,6.34,6.38,3.92
0.4,Very Good,E,SI1,62.8,59.0,737,4.64,4.69,2.93
0.72,Premium,I,SI1,62.0,52.0,1922,5.71,5.67,3.53
0.56,Very Good,E,SI1,60.2,57.0,1440,5.36,5.4,3.24
0.74,Ideal,F,SI2,60.6,57.0,2555,5.88,5.84,3.55
0.33,Ideal,H,VS1,61.4,57.0,743,4.49,4.44,2.74
1.36,Ideal,G,VVS2,61.1,57.0,11956,7.2,7.14,4.38
1.6,Ideal,J,VS1,62.0,53.0,10011,7.57,7.56,4.69
1.09,Premium,G,SI1,62.5,59.0,4322,6.56,6.53,4.09
0.4,Good,G,VS2,63.8,59.0,807,4.64,4.57,2.94
0.3,Ideal,G,VVS2,60.6,57.0,684,4.33,4.35,2.63
0.41,Very Good,F,VVS1,63.7,54.0,1169,4.71,4.74,3.01
0.27,Very Good,E,VVS2,58.6,61.0,575,4.27,4.3,2.51
0.57,Premium,D,VS2,61.9,58.0,2047,5.35,5.32,3.3
0.34,Premium,F,SI1,59.3,60.0,566,4.52,4.58,2.7
0.58,Ideal,F,VS1,60.3,57.0,2227,5.47,5.44,3.29
1.17,Very Good,H,SI2,62.7,56.0,4826,6.68,6.74,4.21
1.53,Ideal,F,SI1,61.6,56.0,11999,7.34,7.39,4.54
0.38,Very Good,F,VS1,61.4,61.0,746,4.66,4.69,2.87
1.06,Ideal,F,VS1,61.9,57.0,7345,6.53,6.55,4.05
1.11,Ideal,J,SI1,62.1,56.0,4259,6.64,6.67,4.13
0.43,Ideal,F,VVS1,62.3,55.0,1422,4.88,4.85,3.03
0.27,Premium,E,VS1,61.5,58.0,470,4.17,4.22,2.58
0.3,Very Good,G,VS1,61.2,59.0,605,4.28,4.32,2.63
1.0,Premium,H,SI1,61.5,58.0,4702,6.37,6.45,3.94
1.54,Ideal,G,I1,61.6,55.0,6186,7.4,7.43,4.57
0.71,Very Good,G,SI2,63.4,56.0,1740,5.71,5.6,3.59
0.4,Very Good,H,VS2,63.1,62.0,895,4.75,4.66,2.97
0.4,Ideal,H,SI1,62.1,55.0,705,4.73,4.77,2.95
2.08,Very Good,E,SI2,62.4,60.0,18128,8.13,8.15,5.08
2.29,Fair,J,VS2,57.0,66.0,13701,8.8,8.6,4.98
0.42,Ideal,G,VVS1,61.6,55.0,1179,4.82,4.85,2.98
1.06,Ideal,F,SI1,61.7,55.1,6249,6.56,6.58,4.06
0.3,Ideal,G,VS2,61.3,56.0,675,4.33,4.28,2.64
0.32,Ideal,G,VVS2,61.3,56.0,730,4.43,4.44,2.72
0.4,Ideal,G,VVS1,61.3,56.0,977,4.74,4.75,2.91
1.51,Very Good,F,SI1,62.8,59.0,11560,7.28,7.31,4.58
0.32,Ideal,E,VVS2,62.2,53.0,816,4.39,4.42,2.74
0.53,Very Good,E,VS2,62.3,56.7,1857,5.19,5.23,3.25
0.77,Very Good,D,VS2,63.1,57.0,3428,5.86,5.83,3.69
1.24,Good,G,SI2,63.7,60.0,4861,6.77,6.7,4.3
0.38,Ideal,I,VS2,61.4,55.0,675,4.66,4.69,2.87
0.41,Premium,G,VS2,61.5,58.0,1061,4.82,4.8,2.96
0.72,Very Good,H,SI1,63.7,57.0,2168,5.66,5.7,3.62
0.7,Good,F,VS1,63.8,58.0,2919,5.61,5.58,3.57
1.3,Premium,F,VVS1,59.3,59.0,14196,7.11,7.08,4.22
0.54,Ideal,D,VS1,62.1,57.0,2004,5.19,5.22,3.23
0.4,Good,H,SI2,63.7,59.0,561,4.64,4.69,2.97
1.04,Ideal,F,VS2,60.1,59.0,7035,6.59,6.63,3.97
1.21,Very Good,F,VS2,60.1,58.0,10283,6.85,6.92,4.14
1.0,Premium,G,VVS1,62.9,53.0,7848,6.39,6.32,4.0
0.5,Ideal,G,VVS2,62.0,56.0,1838,5.09,5.13,3.17
0.8,Ideal,F,SI2,62.0,57.0,2495,5.96,5.98,3.7
0.3,Premium,G,VVS1,62.1,56.0,1013,4.31,4.29,2.67
0.52,Ideal,E,VS2,62.0,55.0,1815,5.19,5.14,3.2
1.51,Ideal,D,VS1,63.0,53.4,16688,7.28,7.3,4.6
1.01,Ideal,F,VS1,61.7,59.0,7056,6.44,6.42,3.97
1.16,Ideal,I,SI1,62.6,57.0,5091,6.71,6.67,4.19
1.02,Good,F,VS1,63.7,57.0,7068,6.35,6.39,4.06
0.73,Very Good,H,VS1,61.6,59.0,2641,5.74,5.81,3.56
1.2,Ideal,H,SI1,60.8,57.0,6485,6.9,6.88,4.19
1.0,Good,J,SI1,63.8,59.0,3780,6.34,6.27,4.02
1.01,Very Good,F,VS1,62.9,58.0,7455,6.29,6.31,3.96
0.35,Ideal,D,SI1,63.0,57.0,827,4.52,4.46,2.83
2.09,Ideal,I,SI2,61.2,57.0,13807,8.19,8.27,5.04
2.3,Ideal,I,SI2,61.8,57.0,16181,8.45,8.48,5.23
1.11,Premium,H,VS2,61.1,59.0,6527,6.66,6.63,4.06
0.75,Ideal,E,SI1,61.7,56.0,2964,5.84,5.86,3.61
0.44,Ideal,E,SI1,62.6,56.0,810,4.84,4.9,3.05
0.4,Very Good,I,VVS1,61.5,58.0,842,4.7,4.76,2.91
1.57,Ideal,H,SI1,61.8,55.0,9416,7.47,7.51,4.63
0.39,Good,G,VS2,63.7,53.0,734,4.62,4.67,2.96
0.7,Very Good,F,SI1,61.3,59.0,2401,5.68,5.74,3.5
0.36,Ideal,J,VVS2,61.7,55.0,525,4.61,4.63,2.85
0.5,Fair,F,VS1,65.0,55.0,1577,5.01,4.96,3.24
0.33,Ideal,D,VS2,61.9,53.0,781,4.46,4.49,2.77
0.95,Ideal,J,VVS2,60.6,57.0,3558,6.4,6.34,3.86
0.7,Good,D,SI1,64.2,60.0,2298,5.59,5.62,3.6
1.0,Premium,F,VVS2,60.6,54.0,8924,6.56,6.52,3.96
1.0,Premium,H,I1,60.4,61.0,1932,6.39,6.32,3.84
0.3,Premium,H,VS1,62.3,58.0,526,4.26,4.28,2.66
0.4,Ideal,E,VS1,61.3,56.0,1252,4.76,4.8,2.93
2.0,Fair,H,SI1,61.2,50.0,13764,8.17,8.08,4.97
0.98,Fair,G,I1,69.7,58.0,1712,6.08,5.98,4.21
0.31,Ideal,I,VVS1,62.3,54.0,557,4.37,4.4,2.73
0.32,Ideal,E,VS2,61.4,57.0,608,4.4,4.46,2.72
0.5,Premium,D,SI1,62.2,58.0,1272,5.08,5.12,3.17
1.01,Good,F,SI2,63.2,58.0,4221,6.3,6.43,4.02
0.7,Very Good,D,SI1,62.1,56.0,2686,5.65,5.69,3.52
1.06,Premium,D,VS2,59.6,60.0,7280,6.71,6.68,3.99
0.7,Premium,H,SI1,60.9,62.0,2331,5.72,5.65,3.46
0.3,Good,G,VVS1,63.4,56.0,789,4.27,4.31,2.72
0.71,Premium,G,IF,61.9,58.0,3545,5.74,5.77,3.56
0.5,Ideal,H,SI1,62.0,56.0,1178,5.09,5.12,3.16
1.5,Good,J,SI1,59.1,64.0,6687,7.32,7.43,4.36
0.7,Very Good,F,VS1,61.8,59.0,2895,5.66,5.76,3.53
0.42,Ideal,H,VS1,61.2,57.0,1048,4.87,4.8,2.96
0.31,Good,E,SI1,63.4,55.0,544,4.31,4.33,2.74
0.36,Premium,F,VS1,60.7,58.0,1013,4.62,4.57,2.79
1.13,Ideal,G,VVS2,61.5,57.0,8889,6.67,6.71,4.12
0.36,Ideal,H,SI1,62.4,53.0,538,4.58,4.59,2.86
1.02,Premium,E,SI2,58.7,58.0,4990,6.68,6.61,3.9
1.59,Good,F,SI1,63.6,57.0,11716,7.39,7.43,4.71
0.38,Very Good,I,VVS1,63.5,57.0,752,4.6,4.63,2.93
0.27,Very Good,G,VVS2,62.4,56.0,504,4.13,4.16,2.58
1.01,Premium,F,SI1,62.8,59.0,3920,6.4,6.36,4.01
2.03,Ideal,G,SI2,61.1,57.0,17182,8.16,8.21,5.0
0.7,Ideal,I,VS1,62.7,53.4,2363,5.66,5.74,3.57
1.13,Ideal,H,VS1,61.6,55.0,7571,6.7,6.74,4.14
0.55,Ideal,D,SI2,61.3,57.0,1272,5.23,5.28,3.22
1.13,Ideal,F,VS1,60.9,57.0,10016,6.73,6.76,4.11
0.3,Ideal,F,VS1,61.6,54.7,652,4.33,4.34,2.67
0.72,Ideal,F,SI1,62.7,57.0,2586,5.69,5.73,3.58
1.0,Ideal,J,VS1,61.1,57.0,4466,6.43,6.48,3.95
0.59,Premium,G,VS2,61.1,57.0,1789,5.43,5.4,3.31
0.3,Premium,D,SI1,62.3,58.0,552,4.28,4.32,2.68
0.55,Very Good,F,SI1,60.5,59.0,1370,5.29,5.35,3.22
0.41,Ideal,E,VVS1,61.9,58.0,1442,4.77,4.8,2.96
2.01,Very Good,I,SI1,60.3,59.0,15126,8.14,8.21,4.93
0.7,Very Good,F,SI1,59.8,60.0,2196,5.75,5.83,3.46
0.3,Very Good,G,VVS1,62.4,59.0,705,4.25,4.31,2.67
1.2,Ideal,I,SI1,62.2,56.0,5174,6.75,6.73,4.19
0.82,Ideal,I,VS1,61.3,57.0,3113,6.02,6.07,3.7
0.83,Ideal,D,SI1,61.9,56.0,4159,6.01,6.04,3.73
0.32,Ideal,G,IF,61.8,55.0,918,4.42,4.45,2.74
1.05,Ideal,J,VS1,62.8,57.0,4116,6.45,6.41,4.04
0.4,Premium,I,VVS1,59.5,59.0,1080,4.79,4.76,2.84
0.9,Very Good,H,VS1,63.5,59.0,4234,6.13,6.1,3.88
0.7,Premium,E,SI1,61.8,59.0,2396,5.63,5.57,3.46
0.42,Ideal,G,VVS1,61.4,56.0,1235,4.83,4.81,2.96
1.0,Very Good,D,SI1,60.5,58.0,5755,6.42,6.48,3.9
0.67,Good,F,VVS2,63.8,61.0,2398,5.46,5.54,3.52
1.37,Good,I,VS2,64.1,58.0,5449,6.92,6.9,4.43
0.7,Premium,I,SI2,62.3,59.0,1415,5.64,5.59,3.5
0.42,Ideal,J,VVS2,61.7,54.0,673,4.83,4.86,2.99
0.31,Ideal,E,VVS2,61.1,56.0,864,4.38,4.39,2.68
0.3,Very Good,D,VS2,62.8,57.0,710,4.25,4.29,2.68
1.29,Very Good,I,VS1,61.1,58.0,5562,6.98,7.03,4.28
0.78,Ideal,I,VS2,61.8,55.0,2834,5.92,5.95,3.67
0.8,Ideal,E,SI2,61.0,55.0,2978,6.0,6.03,3.67
0.32,Ideal,F,VVS1,61.8,56.0,926,4.42,4.45,2.74
1.03,Fair,H,SI1,65.1,57.0,3617,6.43,6.36,4.16
0.31,Good,H,SI1,63.1,57.0,446,4.31,4.34,2.73
0.38,Ideal,D,VVS2,61.5,57.0,1257,4.67,4.63,2.86
0.53,Ideal,G,SI2,62.3,53.0,1113,5.21,5.25,3.26
0.73,Good,E,I1,56.9,60.0,1628,5.98,5.93,3.39
0.41,Ideal,F,SI1,62.7,57.0,969,4.74,4.7,2.96
2.01,Ideal,J,SI1,62.1,56.0,12048,8.08,8.03,5.0
2.02,Premium,H,SI1,63.0,60.0,13453,7.85,7.79,4.93
0.41,Ideal,E,VS1,62.7,55.0,1153,4.76,4.72,2.97
0.54,Ideal,F,VS2,60.3,55.0,1786,5.32,5.26,3.19
1.21,Ideal,G,VVS1,61.0,57.0,10295,6.87,6.93,4.21
1.1,Ideal,G,VVS2,61.6,56.0,9051,6.62,6.69,4.1
1.07,Ideal,E,SI1,61.4,55.0,6561,6.57,6.62,4.05
0.33,Ideal,G,VS1,62.4,56.0,666,4.43,4.45,2.77
0.36,Ideal,D,VVS2,61.6,57.0,1042,4.56,4.59,2.82
2.1,Premium,J,VVS1,61.3,58.0,17606,8.29,8.24,5.07
0.31,Premium,H,VVS1,62.6,58.0,707,4.29,4.33,2.7
0.71,Ideal,G,SI1,60.5,56.4,2751,5.76,5.8,3.5
2.02,Very Good,H,VS2,61.5,59.0,17887,8.08,8.21,5.01
0.9,Very Good,G,VS2,63.2,58.0,4531,6.11,6.17,3.88
0.59,Good,I,VVS2,57.8,61.0,1427,5.52,5.6,3.21
0.35,Ideal,G,VVS1,61.7,56.0,887,4.54,4.57,2.81
0.3,Very Good,G,VVS2,62.3,59.0,684,4.25,4.29,2.66
0.7,Premium,F,SI1,61.9,59.0,2401,5.69,5.71,3.53
1.02,Good,F,SI2,63.8,53.0,4238,6.46,6.37,4.09
0.4,Ideal,G,IF,61.8,55.0,1229,4.76,4.79,2.95
0.3,Premium,F,VVS2,61.4,59.0,945,4.36,4.31,2.66
1.0,Very Good,G,VS2,62.7,58.0,5544,6.34,6.42,4.0
1.04,Ideal,E,SI1,61.8,56.0,7208,6.49,6.53,4.02
1.16,Ideal,G,SI1,61.8,55.0,5908,6.75,6.78,4.18
0.9,Very Good,F,SI2,60.8,55.0,3552,6.25,6.28,3.81
0.34,Ideal,E,VS1,62.2,55.0,1033,4.52,4.49,2.8
0.81,Premium,H,VVS2,62.8,58.0,3266,5.92,5.89,3.71
0.33,Ideal,D,VS2,62.1,55.0,1002,4.46,4.43,2.76
0.4,Premium,G,VS1,62.2,55.0,1080,4.83,4.69,2.96
0.9,Very Good,E,SI1,62.9,56.0,4286,6.09,6.12,3.84
0.3,Ideal,I,VS1,62.5,54.0,457,4.3,4.34,2.7
1.01,Premium,D,SI1,62.0,60.0,6066,6.37,6.4,3.96
0.33,Premium,I,SI1,60.4,59.0,557,4.54,4.5,2.73
0.72,Premium,G,VVS2,61.6,58.0,2720,5.78,5.81,3.57
1.06,Ideal,G,VVS2,60.3,57.0,8726,6.61,6.68,4.01
0.26,Very Good,E,SI1,62.0,54.0,384,4.08,4.11,2.54
1.55,Premium,F,VS1,62.0,60.0,15966,7.4,7.31,4.56
1.42,Premium,G,VS1,62.1,56.0,11434,7.27,7.22,4.5
0.23,Very Good,G,VVS2,62.3,57.0,431,3.9,3.92,2.43
0.9,Very Good,H,VS1,62.1,57.0,4455,6.17,6.23,3.85
0.9,Very Good,I,VS1,63.3,58.0,3656,6.07,6.1,3.85
0.7,Ideal,H,SI2,61.6,56.0,2326,5.77,5.72,3.53
0.55,Ideal,H,SI1,60.8,56.0,1584,5.3,5.33,3.23
0.4,Ideal,J,VVS2,61.8,55.0,662,4.76,4.79,2.95
1.21,Ideal,H,VS2,62.9,55.0,7513,6.77,6.8,4.27
1.33,Ideal,H,VS1,59.3,57.0,8714,7.22,7.18,4.27
0.25,Very Good,E,VVS2,61.1,61.0,533,4.03,4.06,2.47
1.5,Premium,H,SI1,59.0,62.0,10038,7.39,7.31,4.56
0.31,Ideal,H,VVS1,62.0,54.0,687,4.34,4.37,2.7
0.91,Premium,J,SI1,62.8,59.0,2905,6.19,6.14,3.87
0.31,Good,D,SI2,63.1,54.0,462,4.33,4.38,2.75
1.33,Premium,E,SI2,62.5,58.0,6963,6.99,7.03,4.38
1.02,Premium,F,SI2,62.5,58.0,3686,6.4,6.47,4.02
1.14,Premium,H,VS2,61.3,59.0,5858,6.76,6.72,4.13
0.35,Ideal,E,VS2,61.5,55.0,984,4.56,4.52,2.79
1.31,Very Good,I,SI2,60.9,58.0,5652,7.03,7.07,4.29
0.57,Ideal,E,VS2,61.6,56.0,1819,5.38,5.34,3.3
0.43,Premium,F,VVS2,61.6,60.0,1169,4.82,4.86,2.98
0.31,Premium,D,SI1,60.9,60.0,571,4.38,4.39,2.67
0.32,Premium,F,SI1,62.3,55.0,684,4.44,4.39,2.75
0.57,Ideal,E,SI1,61.5,56.0,1436,5.32,5.35,3.28
0.52,Very Good,D,SI1,62.7,56.0,1323,5.08,5.13,3.2
0.57,Ideal,E,VS2,61.3,57.0,2202,5.29,5.38,3.27
1.14,Premium,D,SI1,58.9,59.0,6256,6.84,6.78,4.01
0.51,Premium,E,VS2,61.7,58.0,1781,5.15,5.12,3.17
0.32,Ideal,H,VS2,62.5,55.0,505,4.38,4.42,2.75
1.66,Ideal,H,IF,61.5,57.0,14724,7.59,7.62,4.68
1.51,Premium,D,VS2,60.2,59.0,14773,7.43,7.33,4.44
1.0,Good,F,VS1,57.8,59.0,6552,6.57,6.59,3.8
0.34,Premium,G,VS2,61.2,58.0,596,4.46,4.5,2.74
0.41,Premium,G,VS2,62.6,59.0,1061,4.76,4.73,2.97
0.5,Good,F,SI2,63.5,58.0,997,4.98,5.03,3.18
1.0,Very Good,F,VS2,62.2,55.0,6340,6.39,6.44,3.99
1.09,Premium,I,VS2,61.3,58.0,4659,6.63,6.58,4.05
0.54,Ideal,I,VS1,61.6,54.0,1216,5.26,5.3,3.25
1.01,Premium,E,VVS2,62.4,58.0,9711,6.42,6.36,3.99
1.25,Premium,F,VS2,61.5,60.0,8840,6.93,6.89,4.25
1.01,Good,F,IF,62.7,59.0,9451,6.3,6.42,3.99
1.5,Very Good,G,VS1,60.2,58.0,13596,7.38,7.41,4.45
0.79,Very Good,I,SI1,62.5,57.0,2425,5.89,5.91,3.69
0.33,Premium,G,VVS1,60.4,59.0,868,4.44,4.47,2.69
0.32,Ideal,F,VVS1,62.6,56.0,913,4.37,4.41,2.75
0.53,Ideal,H,VVS1,62.4,54.0,1743,5.18,5.2,3.24
0.31,Ideal,H,IF,61.4,57.0,772,4.36,4.39,2.68
1.19,Very Good,H,VS2,61.1,58.0,6819,6.78,6.83,4.16
1.25,Ideal,E,SI1,61.1,57.0,6468,6.93,6.89,4.22
0.31,Very Good,H,SI1,62.4,57.0,435,4.31,4.35,2.7
0.7,Very Good,I,VS1,63.1,57.0,2411,5.67,5.59,3.55
0.4,Good,E,SI2,63.9,57.0,798,4.71,4.65,2.99
0.33,Ideal,G,VVS2,62.5,54.0,752,4.41,4.45,2.77
0.31,Ideal,E,VS2,62.9,56.0,872,4.33,4.29,2.71
1.14,Premium,I,VS1,62.3,59.0,5291,6.69,6.64,4.15
2.01,Premium,G,SI2,62.3,60.0,15147,8.04,7.97,4.99
1.01,Premium,H,SI1,59.8,60.0,4559,6.48,6.52,3.89
0.9,Ideal,I,SI1,62.3,56.0,3251,6.18,6.12,3.83
0.38,Ideal,F,VVS2,62.0,55.0,963,4.66,4.7,2.9
0.5,Very Good,F,VS2,59.4,59.0,1436,5.19,5.22,3.09
0.42,Very Good,E,VVS2,59.4,60.0,1262,4.88,4.91,2.91
1.01,Fair,E,SI1,69.5,55.0,4853,6.0,5.94,4.15
1.5,Very Good,E,SI2,62.2,58.0,8291,7.31,7.35,4.56
1.01,Very Good,E,SI1,61.1,57.0,5339,6.43,6.46,3.94
0.37,Ideal,E,VVS2,62.2,56.0,1082,4.63,4.6,2.87
0.51,Very Good,I,SI1,63.1,56.0,1052,5.14,5.06,3.22
1.01,Very Good,D,SI1,61.1,58.0,5619,6.46,6.51,3.96
0.3,Very Good,D,VS2,62.5,57.0,670,4.26,4.28,2.67
0.56,Ideal,G,VS1,60.6,56.0,1819,5.33,5.36,3.24
0.4,Premium,J,VS1,59.7,59.0,810,4.83,4.79,2.87
1.01,Very Good,G,VS2,62.5,60.0,5519,6.31,6.37,3.96
0.33,Premium,E,VS2,61.0,60.0,723,4.42,4.47,2.71
1.27,Very Good,I,VS2,62.6,59.0,6007,6.86,6.95,4.32
1.09,Fair,I,SI1,56.4,62.0,4273,6.97,6.9,3.9
1.21,Premium,I,SI1,61.6,56.0,5760,6.89,6.85,4.23
1.59,Ideal,J,SI2,62.1,54.0,7155,7.51,7.44,4.64
0.34,Ideal,H,VVS1,62.2,54.0,740,4.48,4.53,2.8
0.7,Very Good,F,SI1,62.2,58.0,2230,5.66,5.69,3.53
0.32,Good,D,SI1,63.5,55.0,589,4.31,4.35,2.75
0.9,Very Good,I,SI1,63.3,59.0,3251,6.14,6.05,3.86
0.33,Premium,G,VVS2,59.5,60.0,752,4.52,4.55,2.7
1.51,Very Good,G,VS2,62.8,57.0,11923,7.25,7.3,4.57
1.11,Premium,G,SI2,62.3,58.0,4755,6.65,6.61,4.13
1.16,Ideal,I,SI2,62.6,56.0,4560,6.73,6.68,4.2
0.41,Premium,J,VS2,61.9,59.0,784,4.74,4.69,2.92
0.78,Very Good,I,SI1,63.1,56.0,2228,5.88,5.82,3.69
0.41,Very Good,H,VS1,62.8,59.0,827,4.73,4.64,2.94
0.26,Very Good,G,VVS2,62.2,56.0,486,4.09,4.12,2.55
0.9,Very Good,D,VS1,60.3,58.0,5331,6.23,6.28,3.77
2.38,Premium,G,SI2,62.4,58.0,14648,8.59,8.47,5.32
0.26,Ideal,F,IF,60.9,55.0,768,4.15,4.23,2.55
0.7,Fair,G,VS1,65.2,57.0,2290,5.56,5.52,3.61
0.53,Premium,D,VS1,59.2,60.0,2147,5.37,5.31,3.16
0.53,Ideal,D,SI1,62.0,57.0,1683,5.23,5.19,3.23
0.33,Ideal,F,VVS1,61.8,55.0,1141,4.44,4.46,2.75
0.56,Ideal,H,SI1,61.7,56.0,1197,5.26,5.3,3.26
0.9,Ideal,F,SI2,61.8,56.0,4593,6.18,6.21,3.83
0.57,Ideal,I,VVS1,61.7,56.0,1728,5.35,5.31,3.29
0.32,Ideal,G,VS1,61.4,54.0,614,4.45,4.48,2.74
0.56,Ideal,E,VS2,60.7,57.0,1819,5.31,5.34,3.23
0.7,Good,I,VS2,63.9,65.0,2268,5.6,5.56,3.56
0.5,Very Good,D,SI1,60.8,58.0,1436,5.07,5.13,3.1
0.39,Very Good,J,VS1,61.0,62.0,616,4.66,4.71,2.86
0.59,Ideal,E,VS2,62.3,55.0,1968,5.35,5.38,3.34
2.0,Premium,J,VS2,62.9,60.0,11966,7.99,7.95,5.01
1.6,Premium,I,VS2,60.2,58.0,9784,7.63,7.56,4.57
0.75,Very Good,G,VS2,63.4,56.0,2808,5.78,5.74,3.65
